state,pop
ALABAMA,5024294
ALASKA,733374
ARIZONA,7157902
ARKANSAS,3011490
CALIFORNIA,39538212
COLORADO,5773707
CONNECTICUT,3605912
DELEWARE,989946
FLORIDA,21538216
GEORGIA,10713771
GUAM,153836
HAWAII,1455274
IDAHO,1839117
ILLINOIS,12813469
INDIANA,6785442
IOWA,3190427
KANSAS,2937835
KENTUCKY,4506297
LOUISIANA,4657785
MAINE,1363177
MARYLAND,6177253
MASSACHUSETTS,7032933
MICHIGAN,10077674
MINNESOTA,5706804
MISSISSIPPI,2961306
MISSOURI,6154889
MONTANA,1084244
NEBRASKA,1961965
NEVADA,3104617
NEW HAMPSHIRE,1377524
NEW JERSEY,9289039
NEW MEXICO,2117525
NEW YORK,20202320
NORTH CAROLINA,10439459
NORTH DAKOTA,779079
OHIO,11799331
OKLAHOMA,3959411
OREGON,4237279
PENNSYLVANIA,13002788
PUERTO RICO,3285874
RHODE ISLAND,1097371
SOUTH CAROLINA,5118422
SOUTH DAKOTA,886668
TENNESSEE,6910786
TEXAS,29145459
UTAH,3271614
VERMONT,643077
VIRGINIA,8631373
WASHINGTON,7705267
WEST VIRGINIA,1793713
WISCONSIN,5893713
WYOMING,576850
